player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
4167,片 岡 秀 樹,2,6,0.19,0.04,0.32,0.0,C
4697,國 弘 翔 平,5,9,0.201,0.13,0.28,0.0,C
3527,中 嶋 誠一郎,5,13,0.192,0.02,0.33,7.69,B
3807,岡 部 哲,6,5,0.184,0.08,0.26,20.0,C
3663,木 山 和 幸,2,14,0.166,0.06,0.28,7.14,B
3907,村 越 篤,3,9,0.144,0.06,0.31,33.33,C
4020,川 上 清 人,5,6,0.19,0.15,0.23,0.0,C
4195,前 川 守 嗣,6,10,0.121,0.05,0.27,50.0,B
3745,橋 本 年 光,3,7,0.136,0.07,0.2,28.57,C
4272,大 場 広 孝,1,11,0.139,0.03,0.34,54.55,B
2585,原 由樹夫,2,10,0.21,0.14,0.32,0.0,B
4808,松 尾 拓,5,5,0.186,0.15,0.24,40.0,C
4527,高 野 心 吾,2,6,0.128,0.08,0.19,0.0,C
3951,石 川 吉 鎬,4,6,0.15,0.07,0.23,0.0,C
3587,武 田 信 一,1,4,0.138,0.01,0.23,50.0,参考
3641,一 瀬 明,2,3,0.183,0.12,0.29,0.0,参考
3463,乙 津 康 志,4,8,0.163,0.07,0.28,37.5,C
3825,宮 嵜 隆太郎,5,13,0.152,0.06,0.24,46.15,B
4301,関 裕 也,3,5,0.116,0.05,0.15,40.0,C
4145,小 澤 学,5,7,0.286,0.21,0.38,0.0,C
4020,川 上 清 人,6,4,0.253,0.14,0.38,0.0,参考
3484,芝 田 浩 治,3,4,0.182,0.13,0.21,0.0,参考
4272,大 場 広 孝,4,16,0.159,0.02,0.29,18.75,B
3527,中 嶋 誠一郎,6,12,0.159,0.08,0.22,8.33,B
3699,富 永 正 人,6,4,0.138,0.09,0.18,50.0,参考
4167,片 岡 秀 樹,4,4,0.258,0.2,0.38,25.0,参考
3514,山 一 鉄 也,3,20,0.144,0.06,0.29,15.0,A
4053,芦 澤 望,2,3,0.123,0.11,0.14,0.0,参考
3663,木 山 和 幸,4,14,0.139,0.05,0.26,28.57,B
4272,大 場 広 孝,5,18,0.154,0.08,0.23,11.11,B
4145,小 澤 学,6,3,0.23,0.12,0.33,0.0,参考
4195,前 川 守 嗣,1,12,0.124,0.03,0.24,50.0,B
4527,高 野 心 吾,4,5,0.172,0.08,0.26,0.0,C
4808,松 尾 拓,4,4,0.155,0.02,0.26,50.0,参考
3293,宮 内 由紀英,3,3,0.143,0.02,0.22,33.33,参考
3951,石 川 吉 鎬,1,12,0.171,0.06,0.29,16.67,B
3745,橋 本 年 光,2,6,0.192,0.08,0.33,16.67,C
4053,芦 澤 望,4,7,0.147,0.06,0.27,14.29,C
3641,一 瀬 明,6,3,0.117,0.07,0.17,33.33,参考
3527,中 嶋 誠一郎,2,19,0.156,0.04,0.22,5.26,B
